"Effective February 15, 2022 - freight prepaid is $600",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Part number, Size , February 15 2022 List ,Trade Net,Less than $600 Order,$600 or more order,Bulk Net Each, Bulk/ Pcs per pkg ,UPC Number 722170,,,,,
,,,,,,,,,,,,,
BITS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG357 NAIL BOMBER MOLYBDENUM COATED,,,,,,,,,,,,,
HEAVY DUTY SHIP AUGER BITS,,,,,,,,,,,,,
"8"" OAL x 5"" Twist Length",,,,,,,,,,,,,
MAG 785 NON-MOLY COATED SELF FEED BITS,,,,,,,,,,,,,
785.1616P,"1"" ", $30.70 , $26.10 , $13.82 , $12.43 ,,,78530,,,,,
785.1816P,"1-1/8"" ", $30.70 , $26.10 , $13.82 , $12.43 ,,,78531,,,,,
785.2016P,"1-1/4"" ", $30.70 , $26.10 , $13.82 , $12.43 ,,,78532,,,,,
785.2216P,"1-3/8"" ", $38.78 , $32.96 , $17.45 , $15.71 ,,,78533,,,,,
785.2416P,"1-1/2"" ", $38.78 , $32.96 , $17.45 , $15.71 ,,,78534,,,,,
785.2816P,"1-3/4"" ", $38.78 , $32.96 , $17.45 , $15.71 ,,,78535,,,,,
785.3216P,"2"" ", $38.78 , $32.96 , $17.45 , $15.71 ,,,78536,,,,,
785.3416P,"2-1/8"" ", $48.48 , $41.21 , $21.82 , $19.63 ,,,78537,,,,,
785.3616P,"2-1/4"" ", $48.48 , $41.21 , $21.82 , $19.63 ,,,78538,,,,,
