"MORRIS PRICING EFFECTIVE May 13, 2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bar Code#,key,UNSPS Code,Page#,Morris Cat #,Min Piece   Order Qty,Item Description,Price Per,Broken Case Price,PVC Cement                                 1-19 Cases                            Ships UPS,PVC Cement            Pickup/Will Call,PVC Cement                     20+ Cases                  Assorted ,Qty Per Case,,,,,,,
187,601986101141B,144110,26121638,D19,10114B,1000,22-16 #8 Vinyl Spade Term,Piece,0.0776,,,,,,,,,,,
188,601986101165,144110,26121638,D19,10116,100,22-16 #10 Vinyl Spade Term,Piece,0.0878,14.48,14.93,,,,,,,,,
189,601986101165B,144110,26121638,D19,10116B,1000,22-16 #10 Vinyl Spade Term,Piece,0.0791,,,,,,,,,,,
190,601986101189,144110,26121638,D19,10118,100,22-16 1/4 Vinyl Spade Term,Piece,0.1318,,,,,,,,,,,
191,601986101202,144110,26121638,D19,10120,100,16-14 #4 Vinyl Spade Term,Piece,0.0937,,,,,,,,,,,
192,601986101325,144110,26121638,D19,10132,100,16-14 #6 Vinyl Spade Term,Piece,0.0937,,,,,,,,,,,
193,601986101325B,144110,26121638,D19,10132B,1000,16-14 #6 Vinyl Spade Term,Piece,0.0842,,,,,,,,,,,
194,601986101349,144110,26121638,D19,10134,100,16-14 #8 Vinyl Spade Term,Piece,0.0937,,,,,,,,,,,
195,601986101349B,144110,26121638,D19,10134B,1000,16-14 #8 Vinyl Spade Term,Piece,0.0842,,,,,,,,,,,
196,601986101363,144110,26121638,D19,10136,100,16-14 #10 Vinyl Spade Term,Piece,0.1060,,,,,,,,,,,
197,601986101363B,144110,26121638,D19,10136B,1000,16-14 #10 Vinyl Spade Bulk,Piece,0.0954,,,,,,,,,,,
198,601986101387,144110,26121638,D19,10138,100,16-14 1/4 Vinyl Spade Term,Piece,0.1541,,,,,,,,,,,
199,601986101400,144110,26121638,D19,10140,100,12-10 #6 Vinyl Spade Term,Piece,0.1365,,,,,,,,,,,
