Model Number,Item Name,Description,UPC Code,Estimated Lead Time (Days),List Price,My Price,Future Price Effective Date,Future List Price,Future My Price,Note on Estimated Lead Time,,,,,,,,
AYLV-603P-IV,ARIADNI 450W MLV 3WY,"Ariadni Dimmer | Dim from one, switch from other locations| 450W | Color- Ivory",027557687300             ,2,61.00,30.50,2022-07-11,61.00,30.50,Ships in 1-2 weeks,,,,,,,,
AYLV-603P-LA,ARIADNI 450W MLV 3WY,"Ariadni Dimmer | Dim from one, switch from other locations| 450W | Color- Light Almond",027557366649             ,2,61.00,30.50,2022-07-11,61.00,30.50,Ships in 1-2 weeks,,,,,,,,
AYLV-603P-WH,ARIADNI 450W MLV 3WY,"Ariadni Traditional Style Dimmer | Dim from One Location, switch from the other locations| 450W | Color- White",027557687317             ,2,61.00,30.50,2022-07-11,61.00,30.50,Ships in 1-2 weeks,,,,,,,,
C-1500-BE,CENTURION 1500W SP,CENTURION INC 1500W DIMMER BE-C-1500-BE,027557300704             ,2,147.00,73.50,2022-07-11,147.00,73.50,Ships in 1-2 weeks,,,,,,,,
C-1500-WH,CENTURION 1500W SP,CENTURION INC 1500W DIMMER WH-C-1500-WH,027557410151             ,2,147.00,73.50,2022-07-11,147.00,73.50,Ships in 1-2 weeks,,,,,,,,
C-2000-BE,CENTURION 2000W SP,CENTURION INC 2000W DIMMER BE-C-2000-BE,027557301008             ,2,173.50,86.75,2022-07-11,173.50,86.75,Ships in 1-2 weeks,,,,,,,,
C-2000-WH,CENTURION 2000W SP,CENTURION INC 2000W DIMMER WH-C-2000-WH,027557410205             ,10,173.50,86.75,2022-07-11,173.50,86.75,Ships in 2-3 weeks,,,,,,,,
C5-BMF-2A,ECOSYSTEM BALLAST MODULE,(ECO-10 & HILUME),027557193641             ,10,176.00,88.00,2022-07-10,195.00,97.50, Estimated to ship in 1-2 wks,,,,,,,,
C5-BMJ-16A,ECOSYSTEM DIMMING MODULE,,027557258609             ,2,610.00,305.00,2022-07-10,670.00,335.00,Ships in 1-2 weeks,,,,,,,,
C5-XPJ-16A,ECOSYSTEM SWITCHING MODULE,,027557258593             ,2,465.00,232.50,2022-07-10,510.00,255.00,Ships in 1-2 weeks,,,,,,,,
CA-1PS-AL,CLARO 15A SWTCH SP,CLARO ACC SINGLE POLE-CA-1PS-AL,784276016018             ,55,9.20,4.60,2022-07-11,9.20,4.60,Ships in 11-12 weeks,,,,,,,,
CA-1PS-BL,CLARO 15A SWTCH SP,CLARO ACC SINGLE POLE-CA-1PS-BL,784276016032             ,55,9.20,4.60,2022-07-11,9.20,4.60,Ships in 11-12 weeks,,,,,,,,
