Complete Price Report,"August 01, 2022",,,,,,,,,,,,,,,,
Customer Name,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
"City, State","NASHUA, NH",,,,,,,,,,,,,,,,
Customer Account Number,23485,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CATALOG NUMBER,MATERIAL DESC,LIST PRICE,CUSTOMER PRICE,MULTIPLIER,UOM,MPG GRP,MPG Desc,STD PACK Q,UNIT WT IN,CARTON WT,UPC NUMBER,Special Nets,,,Lowes,,
1303-7LTWBOX,Switch Toggle 3-Way LT 15A 120V Grd WH,$8.05,$5.24,Net Price,PE,WE,Residential Switches,100,10,0,032664519482,,,,,,
1303-7V,Switch Toggle 3-Way 15A 120V Grd IV,$1.77,$1.27,Net Price,PE,WE,Residential Switches,100,10,0,032664750915,,,,,,
1303-7V-10-L,Switch Toggle 3-Way 15A 120V Grd IV 10PK,$17.63,$16.75,0.95,PE,WE,Residential Switches,5,,5,032664749704,,,,,,
1303-7V-BOX,Switch Toggle 3-Way 15A 120V Grd IV,$1.77,$1.27,Net Price,PE,WE,Residential Switches,100,10,0,032664752353,,,,,,
1303-7V-SP-L,Switch Toggle 3-Way 15A 120V Grd IV,$1.77,$1.68,0.95,PE,WE,Residential Switches,60,,0,032664309007,,,,,,
1303-7V-SP-L2,Switch Toggle 3-Way 15A 120V Grd IV,$1.77,$1.68,0.95,PE,WE,Residential Switches,35,,0,032664746956,,,,,,
1303-7W,Switch Toggle 3-Way 15A 120V Grd WH,$1.77,$1.27,Net Price,PE,WE,Residential Switches,100,10,0,032664750908,,,,2.47,16.81/10,
1303-7W-10-L,Switch Toggle 3-Way 15A 120V Grd WH 10PK,$17.63,$16.75,0.95,PE,WE,Residential Switches,5,,5,032664749711,,,,,,
1303-7W-BOX,Switch Toggle 3-Way 15A 120V Grd WH,$1.77,$1.27,Net Price,PE,WE,Residential Switches,100,10,0,032664752346,,,,,,
1303-7W-SP-L,Switch Toggle 3-Way 15A 120V Grd WH,$1.77,$1.68,0.95,PE,WE,Residential Switches,60,,0,032664309106,,,,,,
1303-9A,SWITCH TOGGLE SP 3W 15A 120V AG AL,$2.46,$1.62,Net Price,PE,WE,Residential Switches,100,,0,032664737213,,,,,,
